"rgn_id","year","count"
4,1990,42861.0311954105
3,1990,245084.243602492
1,1990,1528720.38458243
2,1990,798456.633673461
4,1991,42177.9080992652
3,1991,241178.068164415
1,1991,1504355.49710468
2,1991,785730.757684942
4,1992,41498.6814740213
3,1992,237294.173189429
1,1992,1480129.58468956
2,1992,773077.468914986
4,1993,41122.9617392566
3,1993,235145.765079939
1,1993,1466728.82410576
2,1993,766078.199269393
4,1994,40800.5060171901
3,1994,233301.926643629
1,1994,1455227.82607328
2,1994,760071.183031818
4,1995,41213.5932801002
3,1995,235664.006522449
1,1995,1469961.370783
2,1995,767766.571037134
4,1996,41352.1313083083
3,1996,236456.18269989
1,1996,1474902.59365736
2,1996,770347.39106301
4,1997,41151.7249321709
3,1997,235310.236283323
1,1997,1467754.718213
2,1997,766614.027772523
4,1998,41495.2449988957
3,1998,237274.523034421
1,1998,1480007.01625318
2,1998,773013.450941458
4,1999,42312.204248682
3,1999,241945.988797227
1,1999,1509145.42528555
2,1999,788232.555900896
4,2000,42842.41208339
3,2000,244977.777405604
1,2000,1528056.29845816
2,2000,798109.778894394
4,2001,43097.2797904195
3,2001,246435.13989675
1,2001,1537146.64108971
2,2001,802857.700391173
4,2002,43212.5558920582
3,2002,247094.301736481
1,2002,1541258.18300821
2,2002,805005.174810017
4,2003,43042.0288691038
3,2003,246119.208854464
1,2003,1535176.01165485
2,2003,801828.432932816
4,2004,42965.8953245738
3,2004,245683.868601244
1,2004,1532460.56365401
2,2004,800410.143825447
4,2005,43344.153915004
3,2005,247846.794175737
1,2005,1545951.877365
2,2005,807456.709723406
4,2006,43967.151036753
3,2006,251409.162464411
1,2006,1568172.25734634
2,2006,819062.501062211
4,2007,44403.8979265786
3,2007,253906.530776681
1,2007,1583749.6677529
2,2007,827198.643420233
4,2008,44858.3488232407
3,2008,256505.13261048
1,2008,1599958.52531285
2,2008,835664.593095228
4,2009,44430.9550987374
3,2009,254061.246759653
1,2009,1584714.71337767
2,2009,827702.69052307
4,2010,44256.4544291085
3,2010,253063.43211471
1,2010,1578490.8143406
2,2010,824451.923722561
4,2011,44497.7375737727
3,2011,254443.11653561
1,2011,1587096.63765881
2,2011,828946.778887672
4,2012,44577.3134840501
3,2012,254898.140627084
1,2012,1589934.8641963
2,2012,830429.195704755
